Date,Price,Open,High,Low,Change
2016-07-05,1.1076,1.1154,1.1184,1.1059,-0.0072
2016-07-06,1.1099,1.1075,1.1112,1.103,0.0021
2016-07-07,1.1063,1.1101,1.1113,1.1053,-0.0032
2016-07-08,1.1055,1.1062,1.1115,1.1001,-0.0007
2016-07-11,1.1058,1.1052,1.1076,1.1016,0.0003
2016-07-12,1.1059,1.1058,1.1127,1.1051,0.0001
2016-07-13,1.109,1.1061,1.1121,1.1043,0.0028
2016-07-14,1.112,1.1089,1.1166,1.1085,0.0027
2016-07-15,1.1036,1.1118,1.115,1.1023,-0.0076
2016-07-18,1.1074,1.1043,1.1086,1.1038,0.0034
2016-07-19,1.1022,1.1073,1.1086,1.0999,-0.0047
2016-07-20,1.1015,1.102,1.1032,1.0981,-0.0006
2016-07-21,1.1025,1.1013,1.106,1.0981,0.0009
2016-07-22,1.0976,1.103,1.1042,1.0954,-0.0044
2016-07-25,1.0994,1.0972,1.1002,1.0954,0.0016
2016-07-26,1.0987,1.0997,1.1031,1.0978,-0.0006
2016-07-27,1.1058,1.0985,1.1067,1.0962,0.0065
2016-07-28,1.1076,1.1058,1.1119,1.1049,0.0016
2016-07-29,1.1174,1.1079,1.12,1.1071,0.0088
2016-08-01,1.1162,1.1177,1.1186,1.1157,-0.0011
2016-08-02,1.1227,1.1162,1.1236,1.1156,0.0058
2016-08-03,1.1149,1.1224,1.1233,1.1139,-0.0069
2016-08-04,1.113,1.1149,1.1158,1.1114,-0.0017
2016-08-05,1.1085,1.1127,1.1162,1.1043,-0.004
2016-08-08,1.1093,1.1087,1.1107,1.1073,0.0007
2016-08-09,1.1119,1.109,1.1124,1.107,0.0023
2016-08-10,1.1177,1.1118,1.1193,1.1102,0.0052
2016-08-11,1.1137,1.1175,1.1194,1.1133,-0.0036
2016-08-12,1.1161,1.1139,1.1224,1.113,0.0022
2016-08-15,1.1184,1.1162,1.1203,1.1153,0.0021
2016-08-16,1.1278,1.1182,1.1324,1.1175,0.0084
2016-08-17,1.1288,1.1279,1.1318,1.1241,0.0009
2016-08-18,1.1354,1.1293,1.1367,1.1283,0.0058
2016-08-19,1.1326,1.1351,1.1363,1.1303,-0.0025
2016-08-22,1.1319,1.1305,1.1334,1.1273,-0.0006
2016-08-23,1.1306,1.1321,1.1357,1.1302,-0.0011
2016-08-24,1.1263,1.1305,1.1316,1.1244,-0.0038
2016-08-25,1.1283,1.1266,1.1301,1.1258,0.0018
2016-08-26,1.1198,1.1284,1.1343,1.118,-0.0075
